[I 2024-06-07 19:47:18,401] Trial 2 finished with value: 0.2768641688503018 and parameters: {'layers': 10, 'max_depth': 2, 'C': 852}. Best is trial 2 with value: 0.2768641688503018.
[I 2024-06-07 20:00:56,920] Trial 3 finished with value: 0.2758316760777331 and parameters: {'layers': 11, 'max_depth': 1, 'C': 657}. Best is trial 3 with value: 0.2758316760777331.
[I 2024-06-07 20:13:00,316] Trial 4 finished with value: 0.27114868736444325 and parameters: {'layers': 15, 'max_depth': 2, 'C': 1268}. Best is trial 4 with value: 0.27114868736444325.
[I 2024-06-07 20:31:16,399] Trial 5 finished with value: 0.2714729998981482 and parameters: {'layers': 15, 'max_depth': 1, 'C': 1538}. Best is trial 4 with value: 0.27114868736444325.
[I 2024-06-07 20:39:41,160] Trial 6 finished with value: 0.27349612536303086 and parameters: {'layers': 10, 'max_depth': 2, 'C': 281}. Best is trial 4 with value: 0.27114868736444325.
[I 2024-06-07 20:55:54,387] Trial 7 finished with value: 0.2726493871903261 and parameters: {'layers': 15, 'max_depth': 1, 'C': 699}. Best is trial 4 with value: 0.27114868736444325.
[I 2024-06-07 21:07:57,302] Trial 8 finished with value: 0.27853520344450744 and parameters: {'layers': 10, 'max_depth': 1, 'C': 1170}. Best is trial 4 with value: 0.27114868736444325.
[I 2024-06-07 21:15:22,394] Trial 9 finished with value: 0.27379762407870906 and parameters: {'layers': 15, 'max_depth': 2, 'C': 1260}. Best is trial 4 with value: 0.27114868736444325.
[I 2024-06-07 21:22:36,109] Trial 10 finished with value: 0.28189772241708366 and parameters: {'layers': 5, 'max_depth': 3, 'C': 1960}. Best is trial 4 with value: 0.27114868736444325.
[I 2024-06-07 21:29:53,502] Trial 11 finished with value: 0.2741110990884254 and parameters: {'layers': 14, 'max_depth': 2, 'C': 1741}. Best is trial 4 with value: 0.27114868736444325.
[I 2024-06-07 21:38:31,511] Trial 12 finished with value: 0.28438626526264504 and parameters: {'layers': 7, 'max_depth': 3, 'C': 1565}. Best is trial 4 with value: 0.27114868736444325.
[I 2024-06-07 21:53:54,778] Trial 13 finished with value: 0.27971253907726795 and parameters: {'layers': 13, 'max_depth': 1, 'C': 1511}. Best is trial 4 with value: 0.27114868736444325.
[I 2024-06-07 22:02:48,203] Trial 14 finished with value: 0.27414710230682826 and parameters: {'layers': 8, 'max_depth': 2, 'C': 1477}. Best is trial 4 with value: 0.27114868736444325.
[I 2024-06-07 22:18:43,294] Trial 15 finished with value: 0.27512416417234253 and parameters: {'layers': 14, 'max_depth': 1, 'C': 1959}. Best is trial 4 with value: 0.27114868736444325.
[I 2024-06-07 22:26:39,421] Trial 16 finished with value: 0.2809708024047561 and parameters: {'layers': 15, 'max_depth': 3, 'C': 406}. Best is trial 4 with value: 0.27114868736444325.
[I 2024-06-07 22:34:35,573] Trial 17 finished with value: 0.2732758955593723 and parameters: {'layers': 13, 'max_depth': 2, 'C': 1743}. Best is trial 4 with value: 0.27114868736444325.
[I 2024-06-07 22:50:19,146] Trial 18 finished with value: 0.2724705642244403 and parameters: {'layers': 13, 'max_depth': 1, 'C': 34}. Best is trial 4 with value: 0.27114868736444325.
[I 2024-06-07 22:58:13,957] Trial 19 finished with value: 0.2759008436143704 and parameters: {'layers': 8, 'max_depth': 2, 'C': 1346}. Best is trial 4 with value: 0.27114868736444325.
Boosted Forest Reynolds y_5 0.23814206321982911 0.3454182807478124 -6.4 28.3
Boosted Forest UK y_5 0.2044636559507683 0.33502045535183433 0.6 23.7
