[I 2024-05-27 17:40:48,717] A new study created in memory with name: no-name-f1ed3c11-01bd-4200-abc5-aaae8f6f3d22
[I 2024-05-27 20:04:49,516] Trial 0 finished with value: 74.15888193505884 and parameters: {'lr': 0.009585413561292324, 'hs': 3, 'en': 425, 'dropout': 0.0018790758024850615}. Best is trial 0 with value: 74.15888193505884.
[I 2024-05-27 20:12:51,346] Trial 1 finished with value: 74.33550559585728 and parameters: {'lr': 0.0007188262040098962, 'hs': 5, 'en': 478, 'dropout': 0.005862821600175321}. Best is trial 0 with value: 74.15888193505884.
[I 2024-05-27 20:17:50,252] Trial 2 finished with value: 53.91548035330911 and parameters: {'lr': 0.008524184153109318, 'hs': 3, 'en': 289, 'dropout': 0.009223499553774106}. Best is trial 2 with value: 53.91548035330911.
[I 2024-05-27 20:25:27,191] Trial 3 finished with value: 1.265801722963853 and parameters: {'lr': 0.06467262294262902, 'hs': 8, 'en': 451, 'dropout': 0.00042168674953840595}. Best is trial 3 with value: 1.265801722963853.
[I 2024-05-27 20:32:18,353] Trial 4 finished with value: 74.30542054518149 and parameters: {'lr': 0.019889935789563266, 'hs': 6, 'en': 402, 'dropout': 0.0015865489708543012}. Best is trial 3 with value: 1.265801722963853.
[I 2024-05-27 20:37:18,518] Trial 5 finished with value: 4.922324636391354 and parameters: {'lr': 0.08272505545141316, 'hs': 8, 'en': 291, 'dropout': 0.0012600775563419671}. Best is trial 3 with value: 1.265801722963853.
[I 2024-05-27 20:39:37,716] Trial 6 finished with value: 74.17109698238644 and parameters: {'lr': 0.03812995984285254, 'hs': 2, 'en': 127, 'dropout': 0.007764893227417005}. Best is trial 3 with value: 1.265801722963853.
[I 2024-05-27 20:44:43,817] Trial 7 finished with value: 74.10744893670483 and parameters: {'lr': 0.033003593830497155, 'hs': 2, 'en': 294, 'dropout': 0.007756135444536304}. Best is trial 3 with value: 1.265801722963853.
[I 2024-05-27 20:45:59,425] Trial 8 finished with value: 74.10024561795936 and parameters: {'lr': 0.022189702016830525, 'hs': 2, 'en': 65, 'dropout': 0.002993503755451171}. Best is trial 3 with value: 1.265801722963853.
[I 2024-05-27 20:53:40,785] Trial 9 finished with value: 29.158587043925692 and parameters: {'lr': 0.060791501809501734, 'hs': 7, 'en': 449, 'dropout': 0.0044498316785824355}. Best is trial 3 with value: 1.265801722963853.
[I 2024-05-27 20:56:38,279] Trial 10 finished with value: 167.85848733957155 and parameters: {'lr': 0.09520796223143241, 'hs': 8, 'en': 169, 'dropout': 3.189593306803185e-05}. Best is trial 3 with value: 1.265801722963853.
[I 2024-05-27 21:02:31,093] Trial 11 finished with value: 0.4418505855395812 and parameters: {'lr': 0.07487874154306443, 'hs': 8, 'en': 343, 'dropout': 2.0332754830491753e-05}. Best is trial 11 with value: 0.4418505855395812.
